,name,path,sign
351,852_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng029_6.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/852_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng029_6.jpg,"[[(895.31, 479.38), (900.52, 500.31), (907.47, 502.91), (900.52, 544.52), (904.86, 552.33), (958.71, 545.47), (959.58, 490.76), (968.27, 485.54), (966.53, 458.53), (923.97, 469.04), (926.58, 451.67), (912.68, 448.11), (910.94, 470.69)]]"
352,853_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng030_25.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/853_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng030_25.jpg,"[[(1231.77, 490.06), (1190.08, 600.36), (1253.0, 594.0), (1280.0, 588.0), (1280.0, 483.0)], [(814.17, 463.84), (831.25, 479.43), (846.84, 461.33), (829.24, 442.23)]]"
353,854_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng030_33.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/854_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng030_33.jpg,"[[(1218.4, 527.23), (1275.0, 594.0), (1280.0, 495.0), (1250.53, 439.51)]]"
356,857_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng030_75.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/857_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng030_75.jpg,"[[(1061.0, 520.0), (1116.78, 565.45), (1104.62, 568.83), (1110.7, 585.34), (1166.29, 575.0), (1161.94, 555.89), (1157.0, 557.0), (1178.0, 506.0), (1105.49, 435.95)]]"
360,861_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng031_33.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/861_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng031_33.jpg,"[[(910.05, 447.3), (910.75, 463.7), (938.67, 462.66), (938.67, 445.55)]]"
362,863_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng033_17.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/863_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng033_17.jpg,"[[(1280.0, 451.58), (1263.0, 450.0), (1230.0, 582.0), (1280.0, 588.81)], [(1280.0, 451.58), (1263.0, 450.0), (1230.0, 582.0), (1280.0, 588.81)]]"
363,864_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng033_31.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/864_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng033_31.jpg,"[[(1125.0, 470.0), (1180.18, 515.07), (1211.0, 457.0), (1160.21, 406.51)], [(905.19, 452.13), (915.74, 463.19), (917.25, 473.24), (933.34, 472.74), (932.33, 460.68), (936.85, 450.63), (920.27, 430.02)]]"
367,868_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng034_10.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/868_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng034_10.jpg,"[[(1020.38, 475.99), (1063.8, 509.86), (1084.65, 467.22), (1045.56, 426.4)]]"
373,874_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng036_57.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/874_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng036_57.jpg,"[[(836.14, 457.97), (835.54, 482.1), (862.68, 482.64), (859.66, 453.75)], [(766.49, 450.64), (776.0, 463.0), (786.12, 454.03), (777.4, 438.28)], [(1102.02, 522.8), (1150.65, 570.66), (1183.66, 515.86), (1135.89, 465.48)]]"
374,875_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng036_63.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/875_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng036_63.jpg,"[[(859.9, 461.83), (886.0, 485.0), (905.0, 461.0), (879.2, 436.5)]]"
377,878_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng037_22.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/878_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng037_22.jpg,"[[(825.83, 463.74), (842.41, 475.3), (851.96, 474.8), (864.0, 461.0), (844.93, 441.13)]]"
378,879_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng037_27.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/879_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng037_27.jpg,"[[(0.0, 612.26), (97.11, 627.27), (305.97, 618.51), (416.03, 623.51), (538.59, 623.51), (539.84, 632.27), (862.51, 627.27), (870.02, 621.01), (948.81, 611.01), (973.82, 617.26), (1280.0, 587.0), (1277.74, 719.81), (892.53, 719.81), (654.9, 720.0), (0.0, 720.0)], [(797.0, 446.0), (802.0, 455.0), (814.0, 454.0), (818.0, 443.0), (805.5, 437.04)]]"
385,886_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng049_33.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/886_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng049_33.jpg,"[[(856.0, 429.0), (854.0, 446.0), (903.56, 450.51), (904.26, 433.41)]]"
386,887_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng049_35.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/887_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng049_35.jpg,"[[(947.0, 452.0), (945.52, 471.8), (982.37, 473.9), (983.21, 452.12)], [(1024.62, 422.15), (1026.43, 445.67), (1098.81, 448.08), (1098.81, 422.75)]]"
387,888_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng049_37.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/888_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng049_37.jpg,"[[(1176.71, 451.67), (1175.0, 492.0), (1226.21, 494.14), (1228.82, 453.32)]]"
388,889_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng050_46.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/889_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng050_46.jpg,"[[(1126.69, 398.6), (1129.2, 418.71), (1162.88, 416.2), (1163.88, 397.1)]]"
417,918_64c1c03d9b7844636ad4b9f035fbee60e028f06cc06d0c521726dd758a6f8979ef3e8de7a4189117e1105b451986adb2517c61341128452289e2835fe71abf5f_70.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/918_64c1c03d9b7844636ad4b9f035fbee60e028f06cc06d0c521726dd758a6f8979ef3e8de7a4189117e1105b451986adb2517c61341128452289e2835fe71abf5f_70.jpg,"[[(542.0, 365.0), (551.0, 360.0), (557.85, 366.47), (550.64, 375.12)]]"
418,919_28bb76de6c04cdf435ed008a99ae1d72ab17631b38f86526a083b25ed0cf447621624ca5135f42e9a419cc27bc7c8f546e1f191f2f4076f708ccd7b24621c723_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/919_28bb76de6c04cdf435ed008a99ae1d72ab17631b38f86526a083b25ed0cf447621624ca5135f42e9a419cc27bc7c8f546e1f191f2f4076f708ccd7b24621c723_0.jpg,"[[(162.62, 87.48), (189.64, 81.24), (188.94, 112.41), (161.93, 119.34)], [(886.96, 70.37), (911.2, 75.22), (913.0, 106.0), (887.65, 101.54)]]"
420,921_28bb76de6c04cdf435ed008a99ae1d72ab17631b38f86526a083b25ed0cf447621624ca5135f42e9a419cc27bc7c8f546e1f191f2f4076f708ccd7b24621c723_54.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/921_28bb76de6c04cdf435ed008a99ae1d72ab17631b38f86526a083b25ed0cf447621624ca5135f42e9a419cc27bc7c8f546e1f191f2f4076f708ccd7b24621c723_54.jpg,"[[(458.0, 96.0), (464.78, 86.87), (473.4, 94.29), (467.65, 102.67)]]"
421,922_c6549f0a5ae74bb4d2bd7d4d509712ad21871a7b3b68d051eea61ce5d05d86c7846dabffc1126ec05185d531e876f71406193476c430f0c6795a8cf8c5219bff_116.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/922_c6549f0a5ae74bb4d2bd7d4d509712ad21871a7b3b68d051eea61ce5d05d86c7846dabffc1126ec05185d531e876f71406193476c430f0c6795a8cf8c5219bff_116.jpg,"[[(477.03, 92.3), (481.22, 87.31), (486.8, 92.5), (482.01, 96.69)]]"
423,924_c6549f0a5ae74bb4d2bd7d4d509712ad21871a7b3b68d051eea61ce5d05d86c7846dabffc1126ec05185d531e876f71406193476c430f0c6795a8cf8c5219bff_47.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/924_c6549f0a5ae74bb4d2bd7d4d509712ad21871a7b3b68d051eea61ce5d05d86c7846dabffc1126ec05185d531e876f71406193476c430f0c6795a8cf8c5219bff_47.jpg,"[[(833.88, 98.93), (833.19, 94.45), (850.08, 79.63), (855.25, 78.94), (873.51, 105.14), (869.0, 111.0), (855.0, 125.0), (851.8, 125.47)], [(213.01, 87.7), (213.01, 83.97), (232.0, 63.0), (234.51, 61.64), (250.64, 77.77), (250.64, 80.67), (234.0, 107.0), (230.0, 107.0)]]"
424,925_c6549f0a5ae74bb4d2bd7d4d509712ad21871a7b3b68d051eea61ce5d05d86c7846dabffc1126ec05185d531e876f71406193476c430f0c6795a8cf8c5219bff_65.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/925_c6549f0a5ae74bb4d2bd7d4d509712ad21871a7b3b68d051eea61ce5d05d86c7846dabffc1126ec05185d531e876f71406193476c430f0c6795a8cf8c5219bff_65.jpg,"[[(441.0, 81.0), (450.0, 81.0), (450.0, 87.0), (440.88, 87.58)], [(651.17, 78.41), (651.0, 75.0), (660.79, 66.78), (662.8, 66.78), (672.82, 78.01), (672.82, 80.81), (664.8, 88.03), (662.0, 88.83)], [(608.18, 76.62), (616.0, 76.0), (616.0, 85.0), (608.18, 84.16)]]"
425,926_c6549f0a5ae74bb4d2bd7d4d509712ad21871a7b3b68d051eea61ce5d05d86c7846dabffc1126ec05185d531e876f71406193476c430f0c6795a8cf8c5219bff_77.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/926_c6549f0a5ae74bb4d2bd7d4d509712ad21871a7b3b68d051eea61ce5d05d86c7846dabffc1126ec05185d531e876f71406193476c430f0c6795a8cf8c5219bff_77.jpg,"[[(162.0, 88.0), (189.0, 81.0), (188.77, 110.85), (161.64, 120.09)], [(888.36, 69.24), (912.6, 74.43), (913.0, 106.0), (888.0, 102.0)]]"
426,927_f143d9ac9afa48c9eb24e2a37c7c02ccce39d534ddd4c5509bb38c5fd18dde6f8952adfddbf0a56e5298cae2d5133fdc9e48d7bb11022d5fb1c37f7a50ce03fb_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/927_f143d9ac9afa48c9eb24e2a37c7c02ccce39d534ddd4c5509bb38c5fd18dde6f8952adfddbf0a56e5298cae2d5133fdc9e48d7bb11022d5fb1c37f7a50ce03fb_0.jpg,"[[(456.17, 85.44), (461.43, 79.93), (467.18, 83.52), (461.91, 89.75)]]"
427,928_f143d9ac9afa48c9eb24e2a37c7c02ccce39d534ddd4c5509bb38c5fd18dde6f8952adfddbf0a56e5298cae2d5133fdc9e48d7bb11022d5fb1c37f7a50ce03fb_10.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/928_f143d9ac9afa48c9eb24e2a37c7c02ccce39d534ddd4c5509bb38c5fd18dde6f8952adfddbf0a56e5298cae2d5133fdc9e48d7bb11022d5fb1c37f7a50ce03fb_10.jpg,"[[(458.71, 96.65), (464.06, 89.97), (472.74, 95.98), (467.4, 103.99)]]"
428,929_f4842ac04cdc74e1fdc141944f0cb84292036743bbeec9d09312e502c366b50c34aa1224c6661cb1adc7c506f86462d285bb129568432757b7bf8337f26fa662_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/929_f4842ac04cdc74e1fdc141944f0cb84292036743bbeec9d09312e502c366b50c34aa1224c6661cb1adc7c506f86462d285bb129568432757b7bf8337f26fa662_0.jpg,"[[(595.36, 94.34), (596.16, 92.33), (605.78, 81.91), (608.18, 81.91), (617.8, 91.13), (617.4, 92.33), (608.58, 103.16), (606.58, 103.56)]]"
430,931_f4842ac04cdc74e1fdc141944f0cb84292036743bbeec9d09312e502c366b50c34aa1224c6661cb1adc7c506f86462d285bb129568432757b7bf8337f26fa662_7.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/931_f4842ac04cdc74e1fdc141944f0cb84292036743bbeec9d09312e502c366b50c34aa1224c6661cb1adc7c506f86462d285bb129568432757b7bf8337f26fa662_7.jpg,"[[(857.76, 130.01), (858.36, 125.25), (887.54, 79.39), (891.71, 79.39), (931.01, 135.97), (931.01, 139.54), (901.83, 182.42), (896.47, 183.02)]]"
433,934_26e7922a7d26d996d1053134b72bc03b80852784a67665801ab371ad3f7aac02b836313cd5abed68f7938dba5a2f599aea29f5d466918c15f2a4c883e3b5aa87_58.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/934_26e7922a7d26d996d1053134b72bc03b80852784a67665801ab371ad3f7aac02b836313cd5abed68f7938dba5a2f599aea29f5d466918c15f2a4c883e3b5aa87_58.jpg,"[[(178.0, 268.0), (191.85, 247.8), (198.32, 247.34), (209.88, 265.37), (209.88, 268.15), (196.01, 289.88), (191.0, 290.0)]]"
434,935_26e7922a7d26d996d1053134b72bc03b80852784a67665801ab371ad3f7aac02b836313cd5abed68f7938dba5a2f599aea29f5d466918c15f2a4c883e3b5aa87_77.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/935_26e7922a7d26d996d1053134b72bc03b80852784a67665801ab371ad3f7aac02b836313cd5abed68f7938dba5a2f599aea29f5d466918c15f2a4c883e3b5aa87_77.jpg,"[[(231.62, 256.43), (241.0, 247.0), (249.82, 254.78), (241.96, 269.67), (238.65, 268.84)], [(474.0, 246.0), (489.0, 246.0), (489.44, 228.48), (474.62, 227.79)]]"
449,1000_3384acfed3c8387ffd3abc24dbee56814976ad346e500ea53c2fc30db9ecc8eff63c6e96235a049b772cb7257a3d566d20a772cc944f683c6fe880d692c94d32_0.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1000_3384acfed3c8387ffd3abc24dbee56814976ad346e500ea53c2fc30db9ecc8eff63c6e96235a049b772cb7257a3d566d20a772cc944f683c6fe880d692c94d32_0.jpg,"[[(482.2, 269.38), (494.0, 281.0), (505.15, 267.94), (492.53, 254.46)]]"
451,1002_3384acfed3c8387ffd3abc24dbee56814976ad346e500ea53c2fc30db9ecc8eff63c6e96235a049b772cb7257a3d566d20a772cc944f683c6fe880d692c94d32_26.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1002_3384acfed3c8387ffd3abc24dbee56814976ad346e500ea53c2fc30db9ecc8eff63c6e96235a049b772cb7257a3d566d20a772cc944f683c6fe880d692c94d32_26.jpg,"[[(172.67, 300.9), (180.0, 311.0), (186.95, 301.5), (179.0, 290.0)], [(340.0, 280.0), (351.0, 294.0), (363.0, 280.0), (351.5, 264.19)], [(942.89, 243.21), (963.0, 266.0), (978.57, 247.38), (961.92, 223.59)], [(678.22, 262.25), (692.0, 280.0), (705.58, 263.43), (691.0, 252.0)], [(607.44, 266.41), (619.0, 277.0), (629.0, 265.0), (618.15, 251.54)]]"
456,1007_4591a3c21c36c0dceb11bdadae24d07e00709547595aca30972644599d26215679794701abb49911ea435edc4200c564df2602b69ec2da1a178f9f5948539b1f_32.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1007_4591a3c21c36c0dceb11bdadae24d07e00709547595aca30972644599d26215679794701abb49911ea435edc4200c564df2602b69ec2da1a178f9f5948539b1f_32.jpg,"[[(511.36, 227.46), (539.15, 259.42), (564.86, 227.46), (538.0, 193.0)]]"
477,1028_317e025403323be24ac31bcc1a54960eb3500f4b291c948d8cd9a1cae2afdbd2e78c58096e9f86281dc5f2cf0a58b57bd2c322b9070f4ea218d01d3ee9377b42_18.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1028_317e025403323be24ac31bcc1a54960eb3500f4b291c948d8cd9a1cae2afdbd2e78c58096e9f86281dc5f2cf0a58b57bd2c322b9070f4ea218d01d3ee9377b42_18.jpg,"[[(711.7, 212.73), (730.0, 233.0), (748.0, 218.0), (728.01, 195.62)], [(276.0, 223.0), (289.72, 238.95), (294.89, 238.55), (308.0, 221.0), (290.52, 205.13)]]"
478,1029_317e025403323be24ac31bcc1a54960eb3500f4b291c948d8cd9a1cae2afdbd2e78c58096e9f86281dc5f2cf0a58b57bd2c322b9070f4ea218d01d3ee9377b42_31.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1029_317e025403323be24ac31bcc1a54960eb3500f4b291c948d8cd9a1cae2afdbd2e78c58096e9f86281dc5f2cf0a58b57bd2c322b9070f4ea218d01d3ee9377b42_31.jpg,"[[(521.0, 208.0), (529.0, 216.0), (537.0, 208.0), (529.46, 198.8)]]"
480,1031_317e025403323be24ac31bcc1a54960eb3500f4b291c948d8cd9a1cae2afdbd2e78c58096e9f86281dc5f2cf0a58b57bd2c322b9070f4ea218d01d3ee9377b42_64.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1031_317e025403323be24ac31bcc1a54960eb3500f4b291c948d8cd9a1cae2afdbd2e78c58096e9f86281dc5f2cf0a58b57bd2c322b9070f4ea218d01d3ee9377b42_64.jpg,"[[(680.0, 228.0), (697.71, 242.57), (714.42, 230.63), (697.23, 210.1)], [(231.0, 237.0), (245.43, 256.89), (261.0, 239.0), (247.34, 219.65)]]"
483,1034_889d532c9632d5c6fb12b1918a283365e09b2b86692fae7dff6cc624e21a35b66e65bdfd450f9d7f97c246dd2530b6487bda6f6d2ba5145dcb800da93858c654_2.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1034_889d532c9632d5c6fb12b1918a283365e09b2b86692fae7dff6cc624e21a35b66e65bdfd450f9d7f97c246dd2530b6487bda6f6d2ba5145dcb800da93858c654_2.jpg,"[[(149.25, 226.96), (171.84, 257.65), (200.79, 229.27), (177.05, 195.11)]]"
484,1035_e6fa0e907ea36b32c81df458aff9ac8293abbbabf38dcef31259167cf61e80f90de7f3c03794413ddd4416ec037969484c64ac7eed26362fb7b569772c1531df_20.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1035_e6fa0e907ea36b32c81df458aff9ac8293abbbabf38dcef31259167cf61e80f90de7f3c03794413ddd4416ec037969484c64ac7eed26362fb7b569772c1531df_20.jpg,"[[(158.98, 225.95), (176.62, 221.97), (178.33, 247.0), (160.12, 249.85)], [(138.5, 213.43), (158.41, 240.17), (182.88, 207.74), (160.12, 181.0)], [(751.61, 192.32), (776.64, 224.19), (798.0, 197.0), (772.09, 163.31)]]"
485,1036_e6fa0e907ea36b32c81df458aff9ac8293abbbabf38dcef31259167cf61e80f90de7f3c03794413ddd4416ec037969484c64ac7eed26362fb7b569772c1531df_25.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1036_e6fa0e907ea36b32c81df458aff9ac8293abbbabf38dcef31259167cf61e80f90de7f3c03794413ddd4416ec037969484c64ac7eed26362fb7b569772c1531df_25.jpg,"[[(762.0, 173.0), (762.0, 199.0), (808.0, 205.0), (805.0, 178.0)], [(136.66, 190.71), (137.61, 211.1), (164.16, 211.1), (165.11, 189.76)]]"
493,1044_b63a44cc7447acc0760488340034f1a3839c65f461c59edd2b174fa3a9c6858e8d571422526176a3fe48fb312addf5a9df7eb2144e922d365b4891811d2c7a6f_41.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1044_b63a44cc7447acc0760488340034f1a3839c65f461c59edd2b174fa3a9c6858e8d571422526176a3fe48fb312addf5a9df7eb2144e922d365b4891811d2c7a6f_41.jpg,"[[(599.83, 225.68), (599.33, 238.62), (618.24, 240.36), (618.49, 226.68)]]"
494,1045_b63a44cc7447acc0760488340034f1a3839c65f461c59edd2b174fa3a9c6858e8d571422526176a3fe48fb312addf5a9df7eb2144e922d365b4891811d2c7a6f_59.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1045_b63a44cc7447acc0760488340034f1a3839c65f461c59edd2b174fa3a9c6858e8d571422526176a3fe48fb312addf5a9df7eb2144e922d365b4891811d2c7a6f_59.jpg,"[[(529.45, 220.85), (529.0, 237.0), (555.0, 237.0), (555.0, 222.0)]]"
507,1067_233290a4c2f07b75e086d8871018009abdc4d24fcb100162f58965e30bdc7219067e963fa6b4d63be23f410401a49e31d472d624e06ec779e2727357a97564c9_33.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1067_233290a4c2f07b75e086d8871018009abdc4d24fcb100162f58965e30bdc7219067e963fa6b4d63be23f410401a49e31d472d624e06ec779e2727357a97564c9_33.jpg,"[[(843.0, 138.0), (843.33, 180.43), (882.02, 190.67), (883.0, 147.0)]]"
512,1093_502fddf3a715e96e65836aca76fadbe6a32f6d300c64ed53e84dac2d15e7f47618543be06a3dcfd5964e4d54822620cd0808fb62f3691606dab46ea817acb3f2_4.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1093_502fddf3a715e96e65836aca76fadbe6a32f6d300c64ed53e84dac2d15e7f47618543be06a3dcfd5964e4d54822620cd0808fb62f3691606dab46ea817acb3f2_4.jpg,"[[(588.09, 140.96), (598.14, 151.02), (606.99, 138.15), (596.13, 126.89)]]"
517,1098_d61b0f8e76952649307f58721246985b6dee908de720dfc8bc71e813dd86e6b0651b5bd7f2efcb4509296a70e4884170e56b48b01df223cd7c4dda3bba999c65_28.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1098_d61b0f8e76952649307f58721246985b6dee908de720dfc8bc71e813dd86e6b0651b5bd7f2efcb4509296a70e4884170e56b48b01df223cd7c4dda3bba999c65_28.jpg,"[[(387.95, 174.88), (387.95, 190.62), (400.35, 190.62), (401.69, 176.21)], [(268.36, 182.08), (268.94, 200.61), (284.57, 200.61), (282.83, 179.77)], [(112.6, 189.03), (112.6, 203.51), (140.4, 213.93), (137.5, 184.4)]]"
518,1099_d61b0f8e76952649307f58721246985b6dee908de720dfc8bc71e813dd86e6b0651b5bd7f2efcb4509296a70e4884170e56b48b01df223cd7c4dda3bba999c65_46.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1099_d61b0f8e76952649307f58721246985b6dee908de720dfc8bc71e813dd86e6b0651b5bd7f2efcb4509296a70e4884170e56b48b01df223cd7c4dda3bba999c65_46.jpg,"[[(611.61, 216.22), (611.61, 235.99), (623.68, 237.33), (624.68, 218.57)], [(535.89, 196.62), (536.22, 213.04), (544.6, 213.04), (546.27, 197.96)], [(498.02, 193.61), (499.03, 205.0), (505.39, 204.33), (505.39, 193.27)]]"
532,1113_ef6d4e2597bbd20adfd6efb6520b8c002db961770bab9d22cd300047c852086a24bba1d125a0316d9fd4f3e1164839e09426f2dfe3c8258786100bface327338_56.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1113_ef6d4e2597bbd20adfd6efb6520b8c002db961770bab9d22cd300047c852086a24bba1d125a0316d9fd4f3e1164839e09426f2dfe3c8258786100bface327338_56.jpg,"[[(372.89, 187.92), (372.89, 186.22), (382.24, 176.87), (385.07, 176.87), (392.72, 184.52), (393.0, 187.07), (384.79, 197.55), (380.54, 196.42)], [(213.7, 199.14), (213.98, 197.44), (219.36, 188.09), (221.06, 187.81), (230.98, 193.47), (231.26, 194.89), (226.44, 206.5), (225.03, 207.07)]]"
