,name,path,barrier
626,1213_9ca04ab43fbbc8927071eb37d41f5b8b4ba971e4e38bab295c89a396843062942d160ef438c8803e50df853faee118429506688d7129ada8093ae34e995cebde_77.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1213_9ca04ab43fbbc8927071eb37d41f5b8b4ba971e4e38bab295c89a396843062942d160ef438c8803e50df853faee118429506688d7129ada8093ae34e995cebde_77.jpg,"[[(718.71, 248.74), (688.61, 237.13), (626.69, 218.64), (562.19, 203.59), (514.03, 194.99), (488.67, 189.83), (444.38, 182.52), (415.0, 178.0), (416.0, 184.67), (452.0, 194.0), (525.21, 213.48), (600.89, 236.27), (673.99, 262.93), (720.0, 283.0)], [(0.64, 441.8), (25.4, 405.16), (83.71, 347.89), (161.11, 286.49), (217.86, 245.73), (264.82, 214.25), (305.06, 186.9), (325.7, 173.49), (335.51, 166.27), (333.44, 172.97), (327.77, 183.81), (300.42, 225.09), (278.23, 259.66), (192.58, 410.32), (0.0, 480.0)]]"
631,1218_b7e768f34e1d3d55144d5445aacf6dc293bd381451912b0ee844adcf36cf6dd199f0f99911f76951cd5b044169c7eb29d83fda5c0aaf6ce59e029a19852b3429_68.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1218_b7e768f34e1d3d55144d5445aacf6dc293bd381451912b0ee844adcf36cf6dd199f0f99911f76951cd5b044169c7eb29d83fda5c0aaf6ce59e029a19852b3429_68.jpg,"[[(347.01, 375.53), (368.22, 371.52), (384.28, 352.31), (401.0, 353.0), (411.0, 312.0), (409.0, 304.0), (403.0, 302.0), (408.35, 282.37), (408.35, 275.49), (406.35, 272.62), (400.33, 272.62), (401.76, 276.64), (390.01, 291.83), (373.96, 308.17), (336.4, 320.21)]]"
685,1272_703d92ea2ea3c41782426b496a38fb37a1547f0bb75dc81ad9c2e2dda821f9aabed8ead108d7ca6404adae563d29ae9ceda4058941196dbfcdf9fe85abf0f496_65.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1272_703d92ea2ea3c41782426b496a38fb37a1547f0bb75dc81ad9c2e2dda821f9aabed8ead108d7ca6404adae563d29ae9ceda4058941196dbfcdf9fe85abf0f496_65.jpg,"[[(494.0, 422.0), (720.0, 444.0), (720.0, 426.0), (632.3, 381.45), (550.48, 331.76), (486.0, 296.0), (425.0, 260.0), (384.61, 237.64), (369.45, 228.79), (360.18, 222.48), (353.03, 216.97), (350.06, 220.36), (366.91, 245.64), (408.97, 307.45)], [(138.0, 271.0), (176.13, 257.83), (236.45, 241.4), (284.52, 229.76), (315.57, 219.31), (326.92, 213.63), (332.59, 207.96), (334.39, 209.75), (328.41, 217.51), (317.96, 225.28), (291.09, 241.4), (261.23, 258.12), (220.02, 279.32), (189.0, 296.0), (185.0, 277.0)]]"
691,1278_cd7f8839e273d4aac9d73eea8733e76daaa5cd979b8af4e58f2a5c377143f0ee64a3ce6ae67a6dc860279728a037d4811eb2edf49d96105f8eaa4ffe606b5249_49.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1278_cd7f8839e273d4aac9d73eea8733e76daaa5cd979b8af4e58f2a5c377143f0ee64a3ce6ae67a6dc860279728a037d4811eb2edf49d96105f8eaa4ffe606b5249_49.jpg,"[[(621.0, 328.0), (642.34, 315.19), (660.35, 306.42), (668.17, 300.02), (670.99, 301.92), (667.0, 308.0), (654.0, 319.0), (622.67, 345.06)]]"
694,1281_9465897d42eda1483ff4295eadb282177dab26a4f11c4de115316fd6e58bc141c74bc1878520d7c9972e63ff19c04d4fc7621c85eb84adc0e31d9ab68fa7555c_24.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1281_9465897d42eda1483ff4295eadb282177dab26a4f11c4de115316fd6e58bc141c74bc1878520d7c9972e63ff19c04d4fc7621c85eb84adc0e31d9ab68fa7555c_24.jpg,"[[(311.87, 268.22), (356.36, 245.82), (375.77, 241.34), (376.37, 250.3), (411.3, 242.24), (450.12, 235.37), (467.14, 231.19), (463.86, 243.13), (417.58, 256.27), (377.0, 270.0), (310.68, 291.81)], [(677.0, 308.0), (603.0, 258.84), (597.99, 258.48), (596.91, 268.87), (568.61, 258.84), (545.67, 248.45), (534.92, 240.92), (528.12, 232.32), (525.0, 239.0), (532.0, 253.0), (563.95, 274.25), (610.0, 302.0), (665.71, 333.73), (676.82, 334.45)]]"
695,1282_9465897d42eda1483ff4295eadb282177dab26a4f11c4de115316fd6e58bc141c74bc1878520d7c9972e63ff19c04d4fc7621c85eb84adc0e31d9ab68fa7555c_32.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1282_9465897d42eda1483ff4295eadb282177dab26a4f11c4de115316fd6e58bc141c74bc1878520d7c9972e63ff19c04d4fc7621c85eb84adc0e31d9ab68fa7555c_32.jpg,"[[(0.0, 537.0), (133.68, 448.24), (286.68, 357.3), (443.0, 280.0), (498.0, 248.0), (539.0, 227.0), (542.0, 237.0), (515.65, 258.86), (434.33, 334.83), (234.0, 499.0), (0.0, 565.93)], [(1013.49, 432.94), (858.0, 349.0), (749.0, 300.0), (661.8, 258.44), (615.0, 237.0), (609.05, 242.07), (640.29, 264.32), (711.66, 311.93), (839.0, 399.0), (1014.0, 527.0)]]"
696,1283_9465897d42eda1483ff4295eadb282177dab26a4f11c4de115316fd6e58bc141c74bc1878520d7c9972e63ff19c04d4fc7621c85eb84adc0e31d9ab68fa7555c_44.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1283_9465897d42eda1483ff4295eadb282177dab26a4f11c4de115316fd6e58bc141c74bc1878520d7c9972e63ff19c04d4fc7621c85eb84adc0e31d9ab68fa7555c_44.jpg,"[[(236.56, 500.83), (327.0, 413.0), (437.0, 305.0), (483.09, 261.88), (499.13, 247.61), (505.38, 263.66), (470.07, 326.25), (420.0, 415.0), (375.0, 491.0)]]"
698,1285_8c2ddfa4177585b27a7287d8e34d728a26e4e1f01b69e02bb46f8b10e1cc1307744de27608263994e13c2937d65228d1dac3da72898aeaa55c84affd0751a88a_12.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1285_8c2ddfa4177585b27a7287d8e34d728a26e4e1f01b69e02bb46f8b10e1cc1307744de27608263994e13c2937d65228d1dac3da72898aeaa55c84affd0751a88a_12.jpg,"[[(312.08, 268.13), (342.84, 250.81), (363.0, 242.0), (375.08, 240.95), (376.28, 252.9), (416.29, 241.55), (454.51, 233.79), (472.43, 229.61), (466.75, 236.48), (465.0, 243.0), (415.0, 258.0), (362.25, 275.29), (310.0, 293.0)], [(678.0, 307.0), (620.41, 269.98), (598.0, 259.0), (597.0, 270.0), (562.36, 255.36), (539.15, 244.61), (531.84, 238.59), (526.0, 235.0), (524.53, 240.31), (531.84, 253.21), (560.0, 271.0), (592.0, 292.0), (663.0, 334.0), (675.02, 334.04)]]"
700,1287_8c2ddfa4177585b27a7287d8e34d728a26e4e1f01b69e02bb46f8b10e1cc1307744de27608263994e13c2937d65228d1dac3da72898aeaa55c84affd0751a88a_20.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1287_8c2ddfa4177585b27a7287d8e34d728a26e4e1f01b69e02bb46f8b10e1cc1307744de27608263994e13c2937d65228d1dac3da72898aeaa55c84affd0751a88a_20.jpg,"[[(0.0, 536.19), (124.0, 453.0), (291.6, 356.83), (413.9, 295.68), (489.0, 254.0), (526.0, 233.0), (530.07, 245.74), (476.06, 296.7), (410.84, 352.75), (267.0, 467.0), (231.48, 503.58), (0.14, 565.74)]]"
701,1288_8c2ddfa4177585b27a7287d8e34d728a26e4e1f01b69e02bb46f8b10e1cc1307744de27608263994e13c2937d65228d1dac3da72898aeaa55c84affd0751a88a_32.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1288_8c2ddfa4177585b27a7287d8e34d728a26e4e1f01b69e02bb46f8b10e1cc1307744de27608263994e13c2937d65228d1dac3da72898aeaa55c84affd0751a88a_32.jpg,"[[(245.0, 501.0), (349.17, 392.23), (449.03, 291.48), (486.47, 257.6), (500.74, 244.22), (506.0, 259.0), (468.0, 323.0), (417.0, 410.0), (368.0, 491.0)]]"
702,1289_8c2ddfa4177585b27a7287d8e34d728a26e4e1f01b69e02bb46f8b10e1cc1307744de27608263994e13c2937d65228d1dac3da72898aeaa55c84affd0751a88a_8.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1289_8c2ddfa4177585b27a7287d8e34d728a26e4e1f01b69e02bb46f8b10e1cc1307744de27608263994e13c2937d65228d1dac3da72898aeaa55c84affd0751a88a_8.jpg,"[[(487.0, 234.0), (472.0, 236.0), (450.0, 240.0), (432.55, 242.45), (432.72, 254.72), (452.08, 249.54), (472.64, 243.49), (487.85, 238.65)], [(596.0, 256.0), (575.0, 242.0), (573.21, 247.1), (544.18, 236.73), (544.18, 245.37), (559.04, 252.98), (591.87, 269.91), (594.81, 268.7)]]"
713,1300_b5ad98574b2eb8aa279ab0b525a17aeb18a285ffd2c428d42b30da4f27b61b8a54f9bdca9e5db1c724fa21b4c820e981c6f90254d7e3437f8bbcfa88af082feb_77.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1300_b5ad98574b2eb8aa279ab0b525a17aeb18a285ffd2c428d42b30da4f27b61b8a54f9bdca9e5db1c724fa21b4c820e981c6f90254d7e3437f8bbcfa88af082feb_77.jpg,"[[(0.0, 76.43), (0.0, 132.0), (35.99, 113.12), (96.86, 84.77), (199.41, 45.58), (238.0, 32.0), (250.0, 18.0), (244.44, 15.57), (217.76, 24.74), (156.89, 37.24), (71.01, 56.42)]]"
718,1305_3aaf9e560a71ecc71ae34c9f855406f9ec279c5a1685274f5e262902b01cf184e5c41e78d080abc6bfce0cd1c9b1405c711ae010bb9f80369c06aa117d607d1c_14.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1305_3aaf9e560a71ecc71ae34c9f855406f9ec279c5a1685274f5e262902b01cf184e5c41e78d080abc6bfce0cd1c9b1405c711ae010bb9f80369c06aa117d607d1c_14.jpg,"[[(0.0, 296.82), (0.0, 369.67), (62.12, 334.93), (100.24, 312.74), (149.46, 287.17), (185.16, 272.69), (196.74, 265.93), (264.78, 234.09), (302.41, 215.27), (321.23, 205.62), (321.71, 195.01), (316.89, 198.38), (299.03, 204.17), (214.6, 228.78), (183.23, 237.95), (145.11, 239.88), (126.78, 237.95), (94.93, 255.32), (56.82, 275.59)]]"
725,1312_f7b7ac69a9f6b68a010dfa147ebd4e4d5e2e338af5d2058140613d5a4e5fb6343a23ec1b9d1d21448cea66f1f308ef14a3e38dfce34d90fc3996df1945248ed4_16.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1312_f7b7ac69a9f6b68a010dfa147ebd4e4d5e2e338af5d2058140613d5a4e5fb6343a23ec1b9d1d21448cea66f1f308ef14a3e38dfce34d90fc3996df1945248ed4_16.jpg,"[[(752.0, 272.0), (752.0, 288.91), (721.09, 286.02), (664.92, 281.96), (653.34, 280.23), (652.0, 266.0), (685.0, 266.0), (732.09, 270.38)], [(306.22, 324.17), (281.91, 325.33), (282.48, 296.96), (317.8, 285.96), (336.33, 276.12), (358.34, 266.27), (373.39, 258.75), (374.55, 254.69), (383.23, 254.11), (383.81, 262.22), (374.0, 273.0), (343.28, 290.59), (316.65, 314.91)]]"
726,1313_f7b7ac69a9f6b68a010dfa147ebd4e4d5e2e338af5d2058140613d5a4e5fb6343a23ec1b9d1d21448cea66f1f308ef14a3e38dfce34d90fc3996df1945248ed4_23.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1313_f7b7ac69a9f6b68a010dfa147ebd4e4d5e2e338af5d2058140613d5a4e5fb6343a23ec1b9d1d21448cea66f1f308ef14a3e38dfce34d90fc3996df1945248ed4_23.jpg,"[[(0.0, 261.35), (35.0, 261.0), (65.0, 260.0), (123.59, 256.53), (176.0, 252.0), (214.31, 254.6), (214.79, 264.25), (182.94, 267.14), (125.04, 272.45), (67.0, 278.0), (27.0, 280.0), (2.48, 280.65)], [(72.59, 480.0), (102.7, 480.0), (213.87, 479.99), (238.0, 445.0), (276.41, 401.24), (322.15, 341.6), (357.47, 299.91), (387.58, 260.54), (392.0, 251.0), (381.21, 248.96), (371.94, 259.96), (314.04, 305.7), (162.34, 413.98)], [(752.0, 324.0), (752.0, 370.55), (707.77, 360.13), (614.55, 327.71), (615.0, 295.0), (664.92, 306.86), (723.98, 319.6)]]"
727,1314_f7b7ac69a9f6b68a010dfa147ebd4e4d5e2e338af5d2058140613d5a4e5fb6343a23ec1b9d1d21448cea66f1f308ef14a3e38dfce34d90fc3996df1945248ed4_28.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1314_f7b7ac69a9f6b68a010dfa147ebd4e4d5e2e338af5d2058140613d5a4e5fb6343a23ec1b9d1d21448cea66f1f308ef14a3e38dfce34d90fc3996df1945248ed4_28.jpg,"[[(92.77, 479.14), (121.12, 479.14), (221.17, 480.0), (262.86, 427.45), (303.72, 370.75), (371.25, 283.21), (392.93, 249.86), (393.77, 240.68), (352.91, 278.2), (252.86, 356.58), (189.49, 399.94)], [(752.0, 328.23), (752.0, 376.59), (703.93, 361.58), (612.22, 325.73), (615.55, 294.05), (695.59, 315.72)]]"
731,1318_aa8462902882a12f03cd3f918783e0d5b3ae1f1e5b462dd08fe851aee15ae87b96544232d467c7e87a25ffc9175269887deb2b3badbc82c5ac282e1bb0a9ee56_2.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1318_aa8462902882a12f03cd3f918783e0d5b3ae1f1e5b462dd08fe851aee15ae87b96544232d467c7e87a25ffc9175269887deb2b3badbc82c5ac282e1bb0a9ee56_2.jpg,"[[(752.0, 399.5), (752.0, 480.0), (641.76, 480.0), (617.44, 462.04), (475.01, 346.81), (395.68, 282.54), (364.99, 252.43), (377.15, 251.28), (424.63, 273.28), (512.64, 305.7), (659.71, 367.08)]]"
732,1319_aa8462902882a12f03cd3f918783e0d5b3ae1f1e5b462dd08fe851aee15ae87b96544232d467c7e87a25ffc9175269887deb2b3badbc82c5ac282e1bb0a9ee56_29.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1319_aa8462902882a12f03cd3f918783e0d5b3ae1f1e5b462dd08fe851aee15ae87b96544232d467c7e87a25ffc9175269887deb2b3badbc82c5ac282e1bb0a9ee56_29.jpg,"[[(752.0, 429.61), (751.77, 479.99), (561.0, 479.0), (455.32, 361.87), (382.94, 284.86), (374.84, 262.28), (376.57, 253.01), (389.31, 244.33), (411.89, 238.54), (413.05, 243.17), (396.26, 247.22), (392.79, 251.86), (406.1, 267.49), (468.06, 294.12), (555.49, 339.29), (676.5, 391.98)]]"
733,1320_aa8462902882a12f03cd3f918783e0d5b3ae1f1e5b462dd08fe851aee15ae87b96544232d467c7e87a25ffc9175269887deb2b3badbc82c5ac282e1bb0a9ee56_58.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1320_aa8462902882a12f03cd3f918783e0d5b3ae1f1e5b462dd08fe851aee15ae87b96544232d467c7e87a25ffc9175269887deb2b3badbc82c5ac282e1bb0a9ee56_58.jpg,"[[(751.19, 387.92), (752.0, 443.51), (752.0, 480.0), (677.08, 480.0), (587.91, 423.24), (523.64, 379.24), (436.79, 309.18), (397.42, 276.17), (387.0, 257.65), (389.0, 246.0), (400.31, 246.64), (406.1, 249.54), (402.05, 254.17), (429.84, 269.8), (506.27, 300.49), (708.93, 373.45)]]"
734,1321_aa8462902882a12f03cd3f918783e0d5b3ae1f1e5b462dd08fe851aee15ae87b96544232d467c7e87a25ffc9175269887deb2b3badbc82c5ac282e1bb0a9ee56_76.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1321_aa8462902882a12f03cd3f918783e0d5b3ae1f1e5b462dd08fe851aee15ae87b96544232d467c7e87a25ffc9175269887deb2b3badbc82c5ac282e1bb0a9ee56_76.jpg,"[[(752.0, 390.64), (752.0, 480.0), (663.3, 480.0), (618.14, 453.18), (542.29, 391.8), (462.0, 331.0), (395.0, 275.0), (388.0, 265.0), (387.11, 255.73), (391.17, 247.63), (400.43, 245.31), (405.64, 246.47), (403.9, 250.52), (403.9, 256.89), (427.64, 267.89), (533.02, 310.16), (662.72, 358.8)]]"
735,1322_48136c210a549410163565aa08050f5c8554372c585f741774bd9ed547c90e0e93fbdcc47e93959e99352dad53c096e043b469d51fbfaf17348066edac013201_28.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1322_48136c210a549410163565aa08050f5c8554372c585f741774bd9ed547c90e0e93fbdcc47e93959e99352dad53c096e043b469d51fbfaf17348066edac013201_28.jpg,"[[(0.03, 272.21), (0.43, 331.72), (43.86, 302.77), (126.29, 259.74), (200.68, 223.15), (260.0, 196.0), (283.0, 180.0), (281.5, 171.68), (278.28, 167.26), (268.63, 166.46), (276.67, 168.87), (277.07, 172.89), (263.0, 178.92), (177.35, 204.25), (67.58, 240.84)], [(719.77, 293.12), (720.0, 359.0), (685.0, 334.0), (550.0, 255.0), (476.0, 218.0), (372.37, 180.93), (336.58, 172.89), (339.8, 168.47), (374.38, 172.89), (478.0, 198.0), (602.36, 241.65), (670.72, 271.0)]]"
736,1323_ba2080880c7b5b913c7e049e91cec9a402a1705ea7dd0897c18e92580b0e2a07c34b7f64485d30b2ebf9195406142ba9b0a48db9e762a063095cf639c00be351_0.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1323_ba2080880c7b5b913c7e049e91cec9a402a1705ea7dd0897c18e92580b0e2a07c34b7f64485d30b2ebf9195406142ba9b0a48db9e762a063095cf639c00be351_0.jpg,"[[(752.0, 269.0), (574.02, 185.85), (461.69, 132.0), (445.48, 126.21), (448.37, 116.95), (461.11, 114.63), (461.11, 109.42), (436.79, 113.47), (424.05, 117.52), (422.9, 133.16), (432.74, 159.79), (486.59, 220.59), (535.8, 270.38), (582.12, 320.76), (665.5, 411.66), (752.0, 453.35)]]"
737,1324_ba2080880c7b5b913c7e049e91cec9a402a1705ea7dd0897c18e92580b0e2a07c34b7f64485d30b2ebf9195406142ba9b0a48db9e762a063095cf639c00be351_22.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1324_ba2080880c7b5b913c7e049e91cec9a402a1705ea7dd0897c18e92580b0e2a07c34b7f64485d30b2ebf9195406142ba9b0a48db9e762a063095cf639c00be351_22.jpg,"[[(752.0, 277.33), (752.0, 405.29), (752.0, 443.51), (666.08, 410.5), (588.49, 321.34), (526.54, 255.91), (468.64, 191.64), (436.21, 155.16), (426.95, 133.16), (425.79, 118.68), (433.9, 111.73), (444.9, 110.0), (442.58, 115.79), (440.27, 125.63), (466.9, 140.69), (473.85, 143.58), (474.43, 138.95), (479.64, 138.37), (481.95, 147.63), (508.01, 156.9), (512.64, 150.53), (522.48, 154.58), (524.22, 160.37), (620.92, 202.64), (664.34, 228.12), (722.24, 258.8)]]"
738,1325_ba2080880c7b5b913c7e049e91cec9a402a1705ea7dd0897c18e92580b0e2a07c34b7f64485d30b2ebf9195406142ba9b0a48db9e762a063095cf639c00be351_39.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1325_ba2080880c7b5b913c7e049e91cec9a402a1705ea7dd0897c18e92580b0e2a07c34b7f64485d30b2ebf9195406142ba9b0a48db9e762a063095cf639c00be351_39.jpg,"[[(651.03, 362.45), (666.66, 317.28), (679.4, 314.97), (689.82, 248.96), (704.29, 248.38), (694.45, 323.07), (714.72, 338.71), (729.19, 269.8), (741.35, 273.86), (728.61, 351.45), (752.0, 372.29), (750.62, 445.82), (701.4, 418.61), (674.76, 387.34)]]"
739,1326_ba2080880c7b5b913c7e049e91cec9a402a1705ea7dd0897c18e92580b0e2a07c34b7f64485d30b2ebf9195406142ba9b0a48db9e762a063095cf639c00be351_49.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1326_ba2080880c7b5b913c7e049e91cec9a402a1705ea7dd0897c18e92580b0e2a07c34b7f64485d30b2ebf9195406142ba9b0a48db9e762a063095cf639c00be351_49.jpg,"[[(467.88, 150.41), (468.46, 167.78), (452.83, 168.36), (433.14, 152.15), (435.46, 143.46), (431.0, 133.0), (430.25, 123.2), (448.2, 113.93), (469.04, 111.04), (469.04, 114.51), (459.2, 115.09), (442.41, 122.62), (441.25, 132.46), (455.15, 144.04)]]"
740,1327_ba2080880c7b5b913c7e049e91cec9a402a1705ea7dd0897c18e92580b0e2a07c34b7f64485d30b2ebf9195406142ba9b0a48db9e762a063095cf639c00be351_67.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1327_ba2080880c7b5b913c7e049e91cec9a402a1705ea7dd0897c18e92580b0e2a07c34b7f64485d30b2ebf9195406142ba9b0a48db9e762a063095cf639c00be351_67.jpg,"[[(752.0, 269.0), (752.0, 421.51), (751.77, 442.93), (721.09, 430.19), (611.07, 400.66), (582.12, 360.13), (508.0, 262.0), (454.74, 189.32), (428.69, 148.79), (426.95, 127.95), (428.11, 119.26), (454.74, 109.42), (483.69, 113.47), (465.16, 121.58), (471.0, 135.0), (522.0, 155.0), (559.0, 168.0), (630.0, 206.0), (708.0, 243.0)]]"
742,1329_bfb88000cbf3178dcaa22716aa0e69c240aff88c0ed01a9487e29dcb5e866859ffc267dbf053f5fbee8d566447d1e220918f4150a81596acf3ba42edf2a0b9c8_38.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1329_bfb88000cbf3178dcaa22716aa0e69c240aff88c0ed01a9487e29dcb5e866859ffc267dbf053f5fbee8d566447d1e220918f4150a81596acf3ba42edf2a0b9c8_38.jpg,"[[(752.0, 370.55), (751.19, 418.61), (721.66, 406.45), (582.12, 321.34), (480.8, 258.22), (423.0, 218.0), (406.0, 204.0), (413.05, 203.22), (430.42, 215.38), (550.86, 274.44)]]"
751,1338_f7fd656e232ccefc2c1fe9f6d469c6cf724ed3d5b82664d91da52e736e33daab2d6df53ea4a1c3cc18b4d158dc8d812eeb4d3578ff5a06ef709deae302fdd95b_33.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1338_f7fd656e232ccefc2c1fe9f6d469c6cf724ed3d5b82664d91da52e736e33daab2d6df53ea4a1c3cc18b4d158dc8d812eeb4d3578ff5a06ef709deae302fdd95b_33.jpg,"[[(0.03, 387.72), (0.03, 522.9), (84.41, 487.67), (193.38, 438.51), (291.7, 387.72), (340.0, 359.0), (353.0, 349.0), (350.69, 332.82), (340.03, 335.28), (282.0, 351.0), (85.23, 377.07)]]"
752,1339_f7fd656e232ccefc2c1fe9f6d469c6cf724ed3d5b82664d91da52e736e33daab2d6df53ea4a1c3cc18b4d158dc8d812eeb4d3578ff5a06ef709deae302fdd95b_77.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1339_f7fd656e232ccefc2c1fe9f6d469c6cf724ed3d5b82664d91da52e736e33daab2d6df53ea4a1c3cc18b4d158dc8d812eeb4d3578ff5a06ef709deae302fdd95b_77.jpg,"[[(0.0, 436.0), (0.0, 566.0), (270.61, 565.77), (425.6, 438.77), (502.0, 372.0), (506.84, 348.65), (501.0, 331.0), (497.0, 339.0), (472.71, 350.02), (353.91, 378.01), (157.96, 418.97), (64.42, 429.9)]]"
753,1340_ebdd7bbd4f676f0e6921b1eaf85148e9fc249ad135e12d2c8cbe5fae468f380510986d30078714522d40df8da27550475263ea974f767ab2de61f2ecfd8daf59_34.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1340_ebdd7bbd4f676f0e6921b1eaf85148e9fc249ad135e12d2c8cbe5fae468f380510986d30078714522d40df8da27550475263ea974f767ab2de61f2ecfd8daf59_34.jpg,"[[(1014.0, 428.74), (1014.0, 509.0), (876.35, 449.22), (649.68, 356.37), (576.0, 339.0), (576.0, 329.0), (638.07, 337.93), (775.98, 372.07), (945.31, 410.3)], [(0.38, 364.56), (0.0, 402.0), (159.0, 378.0), (333.56, 350.22), (482.4, 323.59), (482.4, 315.4), (363.6, 327.69), (130.79, 351.59)]]"
754,1341_ebdd7bbd4f676f0e6921b1eaf85148e9fc249ad135e12d2c8cbe5fae468f380510986d30078714522d40df8da27550475263ea974f767ab2de61f2ecfd8daf59_58.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1341_ebdd7bbd4f676f0e6921b1eaf85148e9fc249ad135e12d2c8cbe5fae468f380510986d30078714522d40df8da27550475263ea974f767ab2de61f2ecfd8daf59_58.jpg,"[[(0.0, 347.27), (0.0, 408.91), (104.7, 401.32), (240.78, 381.88), (365.0, 362.0), (472.0, 346.0), (475.0, 336.0), (400.56, 341.58), (196.69, 349.17)], [(1014.0, 414.0), (1012.86, 471.87), (923.25, 442.48), (770.1, 395.54), (686.0, 375.0), (643.51, 359.5), (647.78, 350.02), (700.88, 358.55), (817.04, 379.89), (911.87, 397.43)]]"
766,1353_acc78be8bbdf5119a733a9fed909ca0a5bc400d6144e7d59647871ec02954b5a5d70c8a3c0653738ecbf5473956cbbaf585525da83a59d663656a2c3f6bca04e_0.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1353_acc78be8bbdf5119a733a9fed909ca0a5bc400d6144e7d59647871ec02954b5a5d70c8a3c0653738ecbf5473956cbbaf585525da83a59d663656a2c3f6bca04e_0.jpg,"[[(0.0, 228.69), (0.22, 370.55), (122.97, 299.91), (210.98, 254.75), (322.15, 198.01), (316.36, 172.53), (181.0, 196.0)]]"
767,1354_acc78be8bbdf5119a733a9fed909ca0a5bc400d6144e7d59647871ec02954b5a5d70c8a3c0653738ecbf5473956cbbaf585525da83a59d663656a2c3f6bca04e_12.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1354_acc78be8bbdf5119a733a9fed909ca0a5bc400d6144e7d59647871ec02954b5a5d70c8a3c0653738ecbf5473956cbbaf585525da83a59d663656a2c3f6bca04e_12.jpg,"[[(0.81, 232.63), (0.0, 389.0), (163.0, 295.0), (263.95, 235.63), (315.97, 203.62), (308.97, 180.6), (183.9, 202.61), (106.86, 214.62)]]"
768,1355_acc78be8bbdf5119a733a9fed909ca0a5bc400d6144e7d59647871ec02954b5a5d70c8a3c0653738ecbf5473956cbbaf585525da83a59d663656a2c3f6bca04e_31.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1355_acc78be8bbdf5119a733a9fed909ca0a5bc400d6144e7d59647871ec02954b5a5d70c8a3c0653738ecbf5473956cbbaf585525da83a59d663656a2c3f6bca04e_31.jpg,"[[(0.0, 234.2), (0.28, 423.53), (50.65, 384.16), (104.5, 343.05), (211.03, 278.78), (244.04, 253.3), (238.25, 193.66), (109.71, 214.51)]]"
775,1362_5dd317ead925649d76ecf5d440d514a706e53c10a496d71d173b875ed87f529da991cb2b7f1071ceea6ee98ab19a0fb36ce5c20266a69fe7962d6ce8cb5fd044_13.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1362_5dd317ead925649d76ecf5d440d514a706e53c10a496d71d173b875ed87f529da991cb2b7f1071ceea6ee98ab19a0fb36ce5c20266a69fe7962d6ce8cb5fd044_13.jpg,"[[(0.0, 235.06), (0.0, 277.33), (54.07, 249.54), (150.18, 204.38), (252.0, 155.0), (248.61, 145.9), (115.44, 193.95)]]"
776,1363_5dd317ead925649d76ecf5d440d514a706e53c10a496d71d173b875ed87f529da991cb2b7f1071ceea6ee98ab19a0fb36ce5c20266a69fe7962d6ce8cb5fd044_30.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1363_5dd317ead925649d76ecf5d440d514a706e53c10a496d71d173b875ed87f529da991cb2b7f1071ceea6ee98ab19a0fb36ce5c20266a69fe7962d6ce8cb5fd044_30.jpg,"[[(0.0, 206.17), (0.0, 235.12), (35.48, 224.12), (121.0, 197.0), (224.0, 165.0), (259.0, 154.0), (255.5, 147.11), (117.12, 177.8)]]"
