,name,path,board
256,757_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf033_30.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/757_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf033_30.jpg,"[[(870.52, 205.53), (1020.16, 211.21), (1024.0, 287.0), (983.01, 287.57), (984.55, 375.29), (1006.23, 377.35), (1009.32, 397.99), (1005.19, 401.6), (1006.23, 416.05), (1002.1, 421.73), (990.23, 418.11), (987.13, 401.6), (980.94, 396.44), (915.93, 396.96), (910.77, 402.63), (908.0, 421.0), (895.81, 417.08), (893.0, 409.0), (893.23, 383.03), (898.39, 368.58), (897.87, 286.02), (868.46, 283.44)]]"
265,766_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf036_33.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/766_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf036_33.jpg,"[[(822.49, 240.16), (899.68, 241.24), (901.48, 278.94), (821.77, 279.29)]]"
268,769_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf036_8.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/769_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf036_8.jpg,"[[(494.05, 269.47), (510.26, 269.22), (509.01, 279.69), (514.5, 280.44), (512.26, 296.89), (493.0, 297.0), (490.56, 280.94), (494.0, 279.0)]]"
276,777_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf040_72.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/777_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf040_72.jpg,"[[(762.04, 276.3), (761.62, 296.46), (750.4, 297.08), (751.44, 318.06), (754.98, 322.84), (755.39, 332.61), (752.69, 332.61), (751.65, 328.87), (730.46, 328.04), (730.04, 331.78), (725.89, 332.61), (725.89, 316.4), (727.76, 295.42), (719.86, 293.76), (720.07, 274.43)]]"
277,778_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf040_75.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/778_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf040_75.jpg,"[[(784.06, 276.95), (784.0, 296.0), (777.58, 301.13), (772.1, 301.38), (773.59, 329.06), (776.0, 334.0), (775.09, 336.04), (774.84, 342.52), (771.85, 342.52), (772.1, 337.03), (745.67, 336.78), (745.42, 341.52), (741.68, 341.77), (741.93, 331.05), (744.0, 298.0), (734.7, 296.89), (736.19, 274.7)]]"
278,779_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf040_77.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/779_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf040_77.jpg,"[[(803.48, 266.42), (803.27, 287.57), (803.0, 292.0), (798.0, 292.0), (793.0, 292.0), (791.66, 324.9), (794.0, 330.0), (793.53, 331.74), (794.98, 338.79), (790.63, 338.79), (790.0, 332.98), (762.22, 331.95), (760.56, 332.57), (760.0, 338.0), (758.0, 338.0), (756.62, 336.51), (756.62, 325.1), (754.75, 317.43), (755.79, 289.23), (748.0, 289.0), (750.4, 264.35)]]"
279,780_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf041_1.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/780_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf041_1.jpg,"[[(785.1, 253.75), (854.97, 256.62), (854.0, 290.0), (846.0, 290.0), (837.0, 290.0), (840.0, 332.0), (845.41, 337.89), (846.02, 352.83), (838.85, 352.83), (838.53, 345.66), (833.76, 342.65), (822.12, 342.65), (808.0, 343.0), (809.0, 350.0), (804.0, 350.0), (804.49, 342.65), (799.11, 342.65), (799.0, 350.0), (796.0, 350.0), (796.75, 291.3), (783.31, 289.23)]]"
282,783_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf041_7.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/783_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf041_7.jpg,"[[(929.2, 219.55), (1055.0, 223.85), (1054.0, 286.0), (1024.84, 286.75), (1025.7, 362.15), (1044.0, 362.0), (1044.0, 381.0), (1044.66, 396.61), (1035.61, 397.48), (1027.43, 396.18), (1027.43, 377.66), (961.94, 379.38), (960.65, 394.03), (958.06, 396.61), (949.88, 395.32), (948.16, 367.32), (951.17, 354.39), (951.0, 285.0), (928.77, 285.03)]]"
284,785_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf043_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/785_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf043_0.jpg,"[[(206.0, 279.0), (245.51, 277.11), (246.97, 302.46), (246.34, 303.5), (204.79, 304.12)]]"
290,791_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf056_18.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/791_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf056_18.jpg,"[[(773.71, 276.27), (773.91, 300.74), (783.04, 300.74), (776.61, 316.91), (774.33, 322.1), (777.0, 337.0), (781.59, 337.65), (784.9, 336.2), (784.49, 332.67), (804.39, 332.46), (806.88, 338.68), (817.67, 337.65), (815.8, 326.87), (814.76, 324.17), (807.09, 323.96), (806.0, 302.0), (815.0, 302.0), (812.48, 276.48)]]"
291,792_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf056_22.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/792_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf056_22.jpg,"[[(832.0, 258.0), (888.56, 261.06), (887.07, 296.06), (882.28, 298.15), (887.0, 325.0), (883.18, 330.47), (885.87, 337.95), (883.78, 351.11), (878.39, 354.7), (877.49, 346.02), (840.09, 343.93), (839.5, 349.02), (831.42, 348.12), (832.62, 334.66), (833.81, 331.06), (840.69, 330.77), (840.09, 322.69), (834.71, 321.49), (835.91, 308.63), (842.49, 306.23), (843.0, 294.0), (831.12, 293.07)]]"
292,793_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf057_26.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/793_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf057_26.jpg,"[[(913.0, 268.0), (920.4, 267.35), (918.74, 249.27), (886.12, 249.48), (887.36, 269.63), (893.8, 269.63), (890.27, 278.78), (892.35, 300.18), (896.71, 300.18), (896.09, 295.81), (914.0, 294.0), (914.17, 298.51), (919.0, 298.0), (917.7, 275.45)]]"
293,794_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf057_30.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/794_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf057_30.jpg,"[[(969.0, 234.0), (1009.84, 233.07), (1012.75, 256.34), (1008.0, 258.0), (1013.0, 294.0), (1011.5, 300.59), (1008.39, 300.18), (1007.97, 294.36), (983.25, 293.94), (982.0, 300.18), (977.22, 300.18), (976.6, 285.01), (977.0, 268.0), (977.02, 259.25), (968.5, 258.42)]]"
294,795_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf057_46.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/795_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf057_46.jpg,"[[(886.63, 236.68), (888.0, 272.0), (879.0, 272.0), (877.18, 306.86), (885.64, 310.09), (886.14, 321.29), (885.39, 326.51), (875.0, 327.0), (875.0, 318.0), (866.73, 316.81), (851.05, 317.55), (845.33, 318.8), (845.0, 329.0), (835.0, 329.0), (834.38, 309.09), (840.85, 303.12), (840.35, 271.52), (825.42, 270.77), (823.93, 238.68)]]"
296,797_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng007_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/797_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng007_0.jpg,"[[(749.0, 269.0), (800.08, 269.74), (801.54, 289.89), (801.0, 293.0), (794.0, 293.0), (792.81, 297.37), (793.64, 322.3), (773.7, 320.02), (756.04, 319.6), (756.0, 292.0), (747.52, 290.72)]]"
297,798_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng007_14.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/798_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng007_14.jpg,"[[(884.08, 234.79), (883.18, 284.15), (903.52, 286.25), (902.0, 339.0), (896.0, 345.0), (897.84, 363.44), (897.84, 374.81), (905.92, 377.2), (907.71, 362.54), (957.37, 362.54), (961.26, 376.0), (969.34, 376.6), (971.14, 362.84), (975.0, 361.0), (970.0, 345.0), (960.07, 345.49), (959.0, 288.0), (985.0, 287.0), (982.81, 236.58)]]"
352,853_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng030_25.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/853_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng030_25.jpg,"[[(754.36, 417.6), (754.35, 434.19), (790.04, 433.18), (788.03, 417.1)]]"
353,854_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng030_33.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/854_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng030_33.jpg,"[[(767.59, 399.3), (766.75, 428.2), (774.71, 428.2), (776.39, 474.69), (780.57, 473.85), (783.51, 467.99), (807.8, 466.32), (810.31, 473.44), (816.59, 473.44), (815.34, 460.45), (810.31, 460.45), (802.35, 427.78), (819.11, 423.59), (822.04, 420.66), (821.0, 398.0)], [(767.59, 399.3), (766.75, 428.2), (774.71, 428.2), (776.39, 474.69), (780.57, 473.85), (783.51, 467.99), (807.8, 466.32), (810.31, 473.44), (816.59, 473.44), (815.34, 460.45), (810.31, 460.45), (802.35, 427.78), (819.11, 423.59), (822.04, 420.66), (821.0, 398.0)]]"
354,855_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng030_41.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/855_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng030_41.jpg,"[[(998.66, 375.24), (985.64, 261.47), (1158.47, 270.07), (1173.24, 375.24), (1135.02, 376.98), (1147.18, 497.7), (1172.0, 493.0), (1186.0, 498.0), (1198.0, 532.0), (1197.0, 568.0), (1148.0, 571.0), (1145.0, 543.0), (1085.52, 548.08), (1079.0, 581.0), (1058.0, 586.0), (1036.0, 571.0), (1036.01, 547.12), (1036.88, 541.13), (1036.88, 533.23), (1021.24, 535.92), (1020.38, 526.36), (1024.72, 495.97), (1037.75, 467.22), (1036.01, 425.62), (1033.4, 395.13), (1027.32, 379.59)]]"
364,865_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng033_35.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/865_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng033_35.jpg,"[[(755.07, 416.18), (755.0, 432.0), (784.0, 431.0), (784.0, 415.0)]]"
365,866_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng033_38.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/866_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng033_38.jpg,"[[(775.0, 402.0), (776.47, 430.67), (817.68, 431.17), (815.17, 401.02)]]"
366,867_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng033_43.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/867_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng033_43.jpg,"[[(907.47, 347.36), (909.21, 409.9), (1011.69, 404.69), (1006.48, 344.76)]]"
373,874_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng036_57.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/874_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng036_57.jpg,"[[(737.77, 421.89), (738.35, 434.11), (764.82, 433.52), (764.0, 421.0)]]"
374,875_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng036_63.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/875_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng036_63.jpg,"[[(765.0, 409.0), (767.62, 429.87), (804.41, 428.06), (803.0, 408.0)]]"
375,876_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng036_67.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/876_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng036_67.jpg,"[[(805.0, 395.0), (805.91, 421.58), (815.55, 424.93), (818.9, 456.35), (815.13, 455.51), (814.71, 460.54), (815.13, 467.24), (819.32, 469.33), (821.41, 466.4), (824.76, 462.63), (847.8, 460.95), (850.31, 469.33), (854.08, 468.49), (854.08, 457.18), (848.64, 453.0), (846.12, 420.33), (861.62, 417.81), (861.0, 395.0)]]"
376,877_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng036_74.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/877_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng036_74.jpg,"[[(1155.0, 247.0), (1171.5, 363.08), (1189.74, 367.43), (1198.42, 376.02), (1203.63, 461.23), (1201.9, 494.14), (1175.84, 486.41), (1171.5, 494.14), (1188.87, 498.48), (1188.0, 504.65), (1185.39, 515.86), (1205.37, 514.21), (1209.71, 525.41), (1213.19, 552.33), (1227.95, 559.28), (1249.66, 549.73), (1260.09, 546.34), (1272.25, 540.17), (1277.46, 508.13), (1280.0, 500.31), (1280.0, 488.93), (1277.46, 476.77), (1272.25, 484.59), (1266.17, 367.43), (1265.3, 359.52), (1276.59, 359.52), (1278.33, 345.71), (1280.0, 333.47), (1277.0, 258.0)]]"
385,886_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng049_33.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/886_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng049_33.jpg,"[[(851.35, 390.9), (849.95, 421.26), (906.14, 423.01), (905.79, 390.55)]]"
386,887_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng049_35.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/887_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng049_35.jpg,"[[(990.24, 333.49), (994.46, 402.24), (1042.11, 402.85), (1042.11, 408.88), (1021.6, 408.88), (1020.4, 422.15), (1023.41, 448.08), (1023.41, 466.18), (1013.16, 475.83), (1005.92, 484.27), (1003.51, 497.54), (1011.95, 488.49), (1016.18, 509.0), (1025.22, 505.38), (1030.65, 493.92), (1037.29, 487.89), (1057.19, 486.08), (1075.28, 486.08), (1075.28, 495.73), (1081.92, 499.95), (1093.98, 498.14), (1098.2, 481.25), (1096.39, 469.19), (1089.16, 461.35), (1091.57, 452.3), (1104.84, 449.29), (1099.41, 420.94), (1096.39, 408.88), (1099.41, 403.45), (1087.35, 398.62), (1086.14, 337.71)]]"
388,889_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng050_46.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/889_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng050_46.jpg,"[[(1112.62, 357.89), (1114.63, 393.58), (1118.65, 395.09), (1121.16, 425.24), (1119.15, 430.27), (1116.64, 441.83), (1116.14, 448.87), (1119.65, 447.86), (1122.67, 436.8), (1126.19, 436.3), (1127.19, 445.85), (1136.74, 446.35), (1136.24, 438.31), (1151.82, 436.8), (1152.83, 444.85), (1161.87, 441.33), (1162.88, 428.76), (1160.87, 422.23), (1163.38, 411.17), (1163.38, 391.07), (1158.36, 391.07), (1156.0, 356.0)]]"
422,923_c6549f0a5ae74bb4d2bd7d4d509712ad21871a7b3b68d051eea61ce5d05d86c7846dabffc1126ec05185d531e876f71406193476c430f0c6795a8cf8c5219bff_4.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/923_c6549f0a5ae74bb4d2bd7d4d509712ad21871a7b3b68d051eea61ce5d05d86c7846dabffc1126ec05185d531e876f71406193476c430f0c6795a8cf8c5219bff_4.jpg,"[[(413.0, 85.0), (445.0, 84.0), (445.0, 98.0), (436.8, 105.5), (438.24, 113.15), (438.0, 122.49), (434.17, 123.45), (433.0, 118.0), (423.16, 118.66), (423.16, 123.45), (415.98, 122.97), (417.9, 105.26), (418.38, 97.12), (412.87, 95.92)]]"
424,925_c6549f0a5ae74bb4d2bd7d4d509712ad21871a7b3b68d051eea61ce5d05d86c7846dabffc1126ec05185d531e876f71406193476c430f0c6795a8cf8c5219bff_65.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/925_c6549f0a5ae74bb4d2bd7d4d509712ad21871a7b3b68d051eea61ce5d05d86c7846dabffc1126ec05185d531e876f71406193476c430f0c6795a8cf8c5219bff_65.jpg,"[[(796.87, 101.18), (819.47, 106.83), (819.47, 100.61), (839.25, 91.01), (843.21, 94.96), (829.08, 106.27), (835.3, 110.79), (872.6, 122.65), (867.51, 164.47), (855.64, 165.04), (857.9, 175.78), (853.38, 179.73), (851.12, 184.82), (844.91, 180.3), (821.17, 178.6), (812.13, 171.26), (805.91, 174.08), (800.82, 169.0), (799.69, 157.13), (804.22, 149.78), (794.04, 146.39)]]"
454,1005_70f92f0514530b6a9ea5e323354178d27f9294b6d2786d65d220c8aa95b2f87b603607097fd6da3db4ca698aff775c143125ccff4964267bfe7ec8f94e52604e_30.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1005_70f92f0514530b6a9ea5e323354178d27f9294b6d2786d65d220c8aa95b2f87b603607097fd6da3db4ca698aff775c143125ccff4964267bfe7ec8f94e52604e_30.jpg,"[[(436.4, 169.31), (436.4, 183.27), (448.4, 183.27), (448.4, 191.93), (443.4, 192.21), (439.77, 191.93), (439.5, 194.72), (439.5, 196.96), (441.14, 197.24), (442.85, 195.84), (450.08, 195.84), (457.62, 196.12), (459.88, 198.35), (462.36, 197.24), (461.81, 194.44), (459.32, 192.77), (454.85, 191.93), (453.71, 181.88), (461.0, 182.0), (460.97, 168.47)]]"
455,1006_70f92f0514530b6a9ea5e323354178d27f9294b6d2786d65d220c8aa95b2f87b603607097fd6da3db4ca698aff775c143125ccff4964267bfe7ec8f94e52604e_39.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1006_70f92f0514530b6a9ea5e323354178d27f9294b6d2786d65d220c8aa95b2f87b603607097fd6da3db4ca698aff775c143125ccff4964267bfe7ec8f94e52604e_39.jpg,"[[(434.55, 163.97), (466.16, 163.0), (466.35, 180.26), (454.52, 180.45), (456.85, 192.48), (464.8, 192.48), (465.58, 198.49), (441.0, 199.0), (441.0, 192.0), (449.29, 192.09), (448.51, 180.65), (435.72, 180.26)]]"
469,1020_0c6ddd3b2117038e2e81cad385c63d419e3a80293f327cfa206b0f32451907f2d71dbe3cec0f3d5279ee3f7fc62056ae08128798c125fa48fe93050bf1513a40_50.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1020_0c6ddd3b2117038e2e81cad385c63d419e3a80293f327cfa206b0f32451907f2d71dbe3cec0f3d5279ee3f7fc62056ae08128798c125fa48fe93050bf1513a40_50.jpg,"[[(359.0, 140.0), (357.0, 182.0), (383.0, 179.0), (382.22, 142.57)]]"
508,1068_233290a4c2f07b75e086d8871018009abdc4d24fcb100162f58965e30bdc7219067e963fa6b4d63be23f410401a49e31d472d624e06ec779e2727357a97564c9_7.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1068_233290a4c2f07b75e086d8871018009abdc4d24fcb100162f58965e30bdc7219067e963fa6b4d63be23f410401a49e31d472d624e06ec779e2727357a97564c9_7.jpg,"[[(621.26, 163.76), (624.68, 117.11), (695.23, 130.76), (695.23, 174.0), (659.38, 169.45), (655.4, 192.78), (666.78, 193.92), (670.76, 197.33), (675.88, 199.61), (678.73, 205.3), (675.31, 218.95), (670.76, 218.95), (668.49, 211.55), (636.62, 210.42), (632.07, 213.26), (626.95, 210.42), (626.95, 206.43), (629.23, 199.04), (629.8, 195.06), (650.85, 194.49), (651.99, 167.75)]]"
522,1103_9384c0535023e2c397071ac39971588a2173e8f442e020012248765779019d0edcca308c6f6216ace73a84f10424dd4387d024b2212dadd6550880ad7daecc60_43.jpg,../data/Delivery_1_Workzone/Day/Batch 2/Images/1103_9384c0535023e2c397071ac39971588a2173e8f442e020012248765779019d0edcca308c6f6216ace73a84f10424dd4387d024b2212dadd6550880ad7daecc60_43.jpg,"[[(534.0, 141.38), (564.0, 142.0), (564.31, 155.26), (534.57, 156.11)]]"
